"Client Name","Phone Number",Total,Current,31-60,61-90,91+
"MRD TRANSPORT LTD","(780) 913-2421",19363.05,4201.31,2140.37,1009.15,12012.21
"AFFINITY TUNING INC","(780) 952-7452",12269.92,0,0,0,12269.92
"AB GILL TRUCKING LTD","(780) 499-5678",12192.53,12192.53,0,0,0
"NORTH TRUCK AND TRAILER REPAIR L","(780) 974-4093",12097.66,12097.66,0,0,0
"G & K TRANSPORT LTD","(780) 278-6434",6753.23,6753.23,0,0,0
"RED SEAL TRUCK AND EQUIPMENT REP","(780) 690-7672",6748.76,6748.76,0,0,0
"D-TECH DIESEL REPAIR","(780) 236-4813",6684.95,1923.33,4761.62,0,0
"RAJA TRUCKING LTD","(780) 239-0218",6467.51,470.53,429.89,2.09,5565
"BLUE HAWK MOTORS","(587) 930-6060",5835.04,5835.04,0,0,0
"INDUSTRIAL DIESEL PERFORMANCE LTD.","(780) 233-4433",5739.04,5739.04,0,0,0
"T&M TRUCK & TRAILER REPAIR","(587) 596-6003",5237.97,5237.97,0,0,0
"DIESEL GUYS TRUCK REPAIR","(416) 509-9159",5234.25,0,0,0,5234.25
"1994426 Ab Ltd","(780) 715-5994",4855.42,-470.93,3201.98,2124.37,0
"SEASTONE TRANSPORT LTD","(780) 243-6000",4672.5,4672.5,0,0,0
"TRUCK POINT INC","(780) 860-7792",4620,0,0,0,4620
"RSC TRUCKING LTD","(780) 660-4929",4609.48,0,4609.48,0,0
"AWAKE TRANSPORT LTD (ATL TRUCKIN","(780) 271-1046",4604.55,4604.55,0,0,0
"AJG TRUCKING LTD","(780) 718-1218",4246.74,4246.74,0,0,0
"KENORA TRANSPORT LTD","(306) 341-4011",3432.06,3432.06,0,0,0
"DAYA TRANSPORT SERVICES","(780) 239-3010",3148.91,3148.91,0,0,0
"Mcmillan Mechanical Ltd","(780) 963-5978",2774.01,0,0,2774.01,0
"AJ TRUCK , TRAILER & AUTO REPAIR","(780) 803-6786",2771.83,2771.83,0,0,0
"OIL KING SERVICES","(780) 887-8118",2716.2,2716.2,0,0,0
"SELECT TRANSLINES INC","(780) 318-0991",2588.88,2588.88,0,0,0
"2687531 Alberta Ltd","(780) 318-4949",2496.62,2496.62,0,0,0
"X TRUCKING LTD","(780) 278-1377",2262.12,2262.12,0,0,0
"SUMMIT TRAILER LTD","(780) 447-4488",2126.25,0,0,0,2126.25
"FATEH TRUCKING LTD","(780) 660-9700",2074.69,0,0,0,2074.69
"782150 ALBERTA LTD O/A JAWANDA T","(780) 995-9409",2026.11,466.69,248.46,650.35,660.61
"NIRMAL SOLUTIONS INC.","(587) 646-3261",1884.41,1566.06,318.35,0,0
"HPC TRANSPORT LTD","(780) 935-0913",1845.38,1845.38,0,0,0
"EXPRESS TIRES GRASSLAND","(780) 803-6363",1705.31,1705.31,0,0,0
"DS DHALIWAL TRANS LTD","(780) 278-1711",1642.88,1642.88,0,0,0
"TOMBSTONE HEAVY DUTY","(780) 531-2779",1590.85,1590.85,0,0,0
"TRIPLE S TRUCK & TRAILER REPAIR","(236) 881-4513",1580.04,1580.04,0,0,0
"1604799 AB LTD / RA TRUCKING","(780) 298-2757",1505.85,1505.85,0,0,0
"FENTON'S TRUCK AND GEAR WORKS","(780) 340-2501",1505.02,1505.02,0,0,0
"102100084 SK LTD 2457155 AB LTD","(780) 994-1956",1307.17,630.82,676.36,0,0
"H JODHAN INVESTMENTS","(780) 271-7676",1256.54,1256.54,0,0,0
"BAZZ TRANSPORT LTD","(306) 665-2299",1254.09,1254.09,0,0,0
"12899281 CANADA INC / BIRRING LO","(780) 718-2687",1214.23,0,0,0,1214.23
"1816845 ALBERTA LTD","(780) 850-6121",1199.35,1199.35,0,0,0
"DTS TRUCKING","(780) 263-0027",1145.52,769.13,376.39,0,0
"BABA SAHIB SINGH TRUCKING LTD /","(780) 231-6651",1136.76,0,0,0,1136.76
"1870760 ALBERTA LTD","(204) 218-4665",1056.1,1056.1,0,0,0
"HANS BROTHER TRUCKING LTD","(780) 893-2100",988.87,988.87,0,0,0
"2682825 AB LTD / LTS","(780) 399-0124",984.34,984.34,0,0,0
"DSP TRANSPORT","(780) 298-6781",787.5,0,0,0,787.5
"SWITCHX DILIVERY EXPERT LTD","(587) 500-6594",652.64,652.64,0,0,0
"1902904 ALBERTA INC.","(780) 235-1122",651.42,651.42,0,0,0
"1788084 AB LTD","(587) 892-4300",607.49,607.49,0,0,0
"SHAH TRUCK REPAIR LTD","(778) 319-6150",580.88,580.88,0,0,0
"NAGRA TRUCKLINE LTD","(780) 806-6363",564.15,564.15,0,0,0
"EDMONTON TRUCK TIRE REPAIR","(780) 340-6585",535.68,535.68,0,0,0
"GILL KARM ENTERPRISE LTD","(780) 660-9592",526.3,526.3,0,0,0
"BSB TRANSPORT LTD","(780) 232-9600",497.59,497.59,0,0,0
"BRIMSTONE SULPHUR INC","(780) 960-2129",482.84,0,115.11,314.69,53.04
"543649 ALBERTA LTD / VIJAY TRUCK","(780) 265-0192",384.9,384.9,0,0,0
"PRECIOUS EXPRESS LTD",17805451493,384.83,384.83,0,0,0
"G & S GILL TRUCKING LTD","(780) 803-5113",330.75,330.75,0,0,0
"MANSPOWER ENTERPRISE","(780) 807-8283",300.28,300.28,0,0,0
"1707854 ALBERTA LTD","(780) 264-4713",283.83,283.83,0,0,0
"TIGER CALCIUM LTD","(780) 955-5004",264.52,264.52,0,0,0
"HARI INVESTMENT LTD","(780) 239-4031",258.74,187.8,70.94,0,0
"NANAKSAR FARMS","(780) 278-1377",224.04,83.64,140.4,0,0
"KAHLON ROADWYS LTD","(587) 377-0007",205.69,205.69,0,0,0
"1ST CHOICE CONSTRUCTION","(780) 267-9321",205.66,205.66,0,0,0
"HS SIDHU Trucking","(780) 893-3267",174.48,174.48,0,0,0
"ASC TRUCKING","(780) 265-2799",167.35,110.68,0,56.67,0
"BION TRANSPORT LTD","(306) 579-9151",150.41,0,0,150.41,0
"J S KHAIRA TRUCKING LTD","(780) 982-8473",135.81,135.81,0,0,0
"YONAS TRUCKING","(780) 932-7219",132.14,132.14,0,0,0
"ANAND TRUCKING",,120.67,0,0,0,120.67
"1350283 AB LTD","(780) 264-2209",119.75,119.75,0,0,0
"JPG TRUCKING LTD","(780) 263-4343",97.85,97.85,0,0,0
"RISING STAR TRUCKING LTD/2043971","(780) 893-2100",95.67,95.67,0,0,0
"KGPS LOGISTIC INC","(647) 287-6264",92.9,92.9,0,0,0
"AUTO GATES TRUCKING LTD",,89.24,0,0,0,89.24
"2195399 AB LTD","(587) 710-7689",88.71,88.71,0,0,0
"NANKANA TRANSPORT LTD","(780) 245-5631",81.84,0,81.84,0,0
"6581510 CANADA INC","(780) 220-1150",77.2,77.2,0,0,0
"2511029 AB LTD.","(780) 278-6434",73.8,73.8,0,0,0
"NAB TRUCKING LTD","(780) 700-2641",63.71,63.71,0,0,0
"BASSI PATHANAN TRANSPORT","(431) 777-8698",59.82,59.82,0,0,0
"TARLOK TRUCKING LTD","(780) 237-5661",55.81,55.81,0,0,0
"1574234 AB LTD","(780) 267-7990",42.95,42.95,0,0,0
"LS TRUCKING LTD","(587) 709-6668",31.94,31.94,0,0,0
"DGN TRUCK AND TRAILER REAPIR LTD","(780) 863-4113",27.26,27.26,0,0,0
"SIDHU ROAD LINK (1831366 AB LTD)","(780) 242-2145",20.03,20.03,0,0,0
"TEJBIR TRANSPORT LTD","(780) 263-0027",19.89,0,19.89,0,0
"S & K DHALIWAL TRANSPORT",,11,0,0,0,11
"1313 TRUCKING LTD","(780) 236-4656",8.91,8.91,0,0,0
"JOJO TRUCKING LTD","(780) 782-2434",7.64,0,0,7.64,0
"AKAL TRUCKING LTD","(780) 504-7116",5.78,5.78,0,0,0
"ABS TRUCK AND TRAILER PARTS","(780) 699-8087",1.31,0,0,1.31,0
"2438093 AB LTD","(780) 232-5859",1.01,0,19.43,44.06,-62.47
"HD OILERS LTD","(306) 744-3447",0.68,0,0,0,0.68
"JJOVALLES TRUCKING LTD","(780) 228-6205",0.38,0,0,0,0.38
"PARM TRUCKING LTD","(780) 237-1663",0.12,0.12,0,0,0
"1827830 AB LTD","(780) 266-2500",-0.36,0,0,0,-0.36
"EAST POINT TRUCKLINES","(780) 948-0505",-0.47,0,-0.47,0,0
"101257490 SK LTD",,-0.6,0,0,0,-0.6
"LOVELEEN GHOTRA INC","(780) 243-3344",-0.64,0,0,0,-0.64
"2463866 AB LTD","(780) 405-9984",-1.05,0,0,-1.05,0
"1962407 ALBERTA LTD","(780) 729-2585",-1.45,0,0,0,-1.45
"HASHIR ENTERPRISES","(780) 965-1155",-3.1,0,0,0,-3.1
"AKD TRANSPORT LTD","(780) 680-9693",-3.41,0,0,0,-3.41
"2028121 AB LTD","(780) 235-3554",-3.77,57.42,0,36.52,-97.71
"1915486 AB LTD","(780) 802-3391",-3.94,0,0,0,-3.94
"NEVER DULL SERVICES LTD","(780) 913-7260",-5.05,0,-5.05,0,0
NASIB,"(416) 984-0446",-5.25,22.05,-27.3,0,0
"JG GILL TRUCKING LTD","(780) 257-9300",-6.56,0,-6.56,0,0
"ISE DIESEL PERFORMANCE","(780) 802-7254",-7.31,0,-7.31,0,0
"CONNECT TRANSPORT","(780) 245-6013",-7.46,29.3,0,0,-36.75
"1818986 AB LTD","(780) 231-4649",-7.53,0,0,44.06,-51.59
"1618787 AB LTD",,-9.39,0,0,0,-9.39
"G JODHAN TRUCKING LTD","(780) 660-6613",-10.49,0,-10.49,0,0
"SKYVIEW TRANSPORT LTD","(639) 471-3646",-12.85,0,0,0,-12.85
"MAJESTY LOGISTICS LTD","(587) 722-2222",-15.21,0,0,0,-15.21
"ELITE TRUCK REPAIR LTD","(780) 862-2662",-15.54,0,-15.54,0,0
"A SIVIA TRUCKING LTD","(587) 306-6100",-15.74,0,0,0,-15.74
"ADVANCE TRUCKLINES","(780) 257-2757",-16.63,0,-16.63,0,0
"2018046 ALBERTA INC","(780) 263-1515",-17.2,0,0,-17.2,0
"2324456 AB LTD.","(780) 901-3848",-17.33,0,0,-17.33,0
"JUST DO IT TRUCKING",,-17.96,0,0,0,-17.96
"MCN TRANSPORT","(780) 239-4534",-18.28,1.14,-19.43,0,0
"PRO LIMIT TRANSPORT LTD","(306) 291-8476",-23.42,0,0,0,-23.42
"RIVAL TOWING","(780) 901-5790",-24.73,0,0,0,-24.73
"SHIVDEV TRUCKING LTD","(306) 830-0253",-26.25,0,0,0,-26.25
"JASKARAN DHILLON TRUCKING LTD","(639) 318-1990",-26.79,0,0,0,-26.79
"PHOBOS TRANSPORT INC","(418) 858-0858",-30.44,0,0,0,-30.44
"GOLDING TRUCKING INC","(825) 995-1103",-30.56,0,-30.56,0,0
"BATH HOLDING","(780) 667-9135",-32.33,0,0,0,-32.33
"KDD TRUCKING INC",0000000,-36.86,0,0,0,-36.86
"1936373 ALBERTA LTD","(780) 932-1111",-38.64,0,0,0,-38.64
"SAENZ TRUCKING PRODUCTIONS","(587) 990-5402",-41.6,0,0,0,-41.6
"DPM TRANSPORT LTD","(780) 271-3187",-51.29,0,0,0,-51.29
