 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"MACCOSHAM INC.",4038804898,170417.2,52456.08,69906.37,48054.74,0
"ABS TRUCKING LTD",7809133777,71641.4,3821.31,6998.42,4388.6,56433.07
"ABS TRUCK AND TRAILER PARTS LTD",7804794700,34699.22,0,0,0,34699.22
"IMPERIAL TRUCK & TRAILER REPAIR",4032631441,21312.52,9618.47,895.29,113.16,10685.59
"ABS TRUCK PARTS (SLAVE LAKE)",7806557753,17272.35,0,0,0,17272.35
"G & G TRUCKING INC",4038915584,13868.68,13868.68,0,0,0
"DYNAMIC TRUCKING",4036694714,12185.77,12185.77,0,0,0
"KMC TRUCK AND TRAILER REPAIR LTD",4034732706,10910.58,-150.26,0,0,11060.83
"DIESEL SOLUTION TRUCK & TRAILER",5142162657,8738.86,2469.71,6267.43,1.71,0
"PYTHON TRUCKING",4039688713,8458.94,8458.94,0,0,0
"GRACE ROAD LINES LTD",4032723355,7637.52,0,0,0,7637.52
"J AND R HALL TRANSPORT INC(002711)",4032367758,6985.81,3926.94,3058.87,0,0
"KD TRUCK TRAILER REPAIR",4037971979,5249.79,0,0,0,5249.79
"DJB TRANSPORT",4037106434,4881.45,0,0,4881.45,0
"KC TRUCK AND TRAILER REPAIR LTD",4037021656,4523.75,956,3567.75,0,0
"1362424 AB LTD/ JTG TRUCKING",4039737805,4462.51,4462.51,0,0,0
"JANSAL TRUCKING INC",4033339037,4151.78,4151.78,0,0,0
"ONE TIME MECHANICAL LTD",5874295083,4027.73,4027.73,0,0,0
"AS TRUCK & TRAILER REPAIRS LTD",4036046476,3425.59,1256.74,2168.85,0,0
"D & G TRANSPORT LTD",4036819699,3374.43,3374.43,0,0,0
"PYTHON X PRESS",4038743838,3355.89,3355.89,0,0,0
"CALMAR TRANSPORT INC",7802660018,3242.72,2449.07,793.65,0,0
"ELITEWAY TRANSPORTATION INC",4037082791,3051.68,3051.68,0,0,0
"ABS TRUCK REPAIR SOLUTION LTD",5876648989,2787.58,2787.58,0,0,0
"Ultimate Diesel Repair",5878913263,2633.96,2633.96,0,0,0
"ALLFREIGHT TRANSPORT LTD",5877190336,2321.03,2321.03,0,0,0
"TRIPLE S TRUCK & TRAILER REPAIR",2368814513,2247.53,2247.53,0,0,0
"RAJ TRUCKING LTD",4034712929,2217,810.01,1406.99,0,0
"ROSENAU TRANSPORT LTD",4032794819,2120.67,1815.09,305.58,0,0
"ATLAS TRUCKING LTD",4038154691,2000.38,2000.38,0,0,0
"HAWK HD MECHANICAL LTD",8258880115,1979.03,1914.56,64.47,0,0
"GS AUTO HAULING INC",4035109000,1869.99,1869.99,0,0,0
"CALGARY TIRES LTD",7802573131,1539.69,1369.86,169.83,0,0
"PROFIX TRUCK REPAIR",6472675604,1226.27,1226.27,0,0,0
"ROCKY MOUNTAIN RIGS",4039925967,1219.91,471.56,748.36,0,0
"GURU ROAD CONNECTION LTD",4034617007,1211.02,1211.02,0,0,0
"1788084 AB LTD",5878924300,984.15,984.15,0,0,0
"MACCOSHAM INC",4038804898,922.32,184.46,415.04,322.81,0
"D Sohi Trucking Ltd",4035858485,869.01,869.01,0,0,0
"Black Roadways Ltd",4039452000,764.16,291.67,472.49,0,0
"THIND TRANSPORT LTD",4037086119,751.45,0,0,0,751.45
"1627541 ALBERTA LTD",4038313375,719.3,0,0,0,719.3
"ADVANCE TANK CENTRE LTD",4037204888,670.07,564.59,105.48,0,0
"BULLET TRANSPORTATION",4032030669,630.68,550.93,79.76,0,0
"GOLD SEAL REPAIRS",4036291837,626.36,520.54,105.82,0,0
"ONE STOP MECHANICAL SERVICES",5874360447,560.99,0,0,7.5,553.49
"JGN BUNTY TRUCKING",4036071262,546.53,0,546.53,0,0
"XPRESS TRANSPORT SOLUTION LTD",4039091806,541.08,0,541.08,0,0
"SMS EQUIPMENT",4033876466,540.75,0,0,0,540.75
"BBK TRAILER SERVICES",4034528225,538.59,242.55,296.04,0,0
"ABS TRUCK AND TRAILER PARTS SK LTD.",7809133777,513.24,0,0,0,513.24
"Elite Diesel Performance Inc",4036130553,453.6,0,0,3.19,450.41
"2387544 AB LTD",4039195388,434.53,434.53,0,0,0
"BSB TRUCK REPAIR INC",5878894439,388.27,0,388.27,0,0
"NEW MILLENIUM TIRE",4039881313,352.45,352.45,0,0,0
"CEDAR CREST LANDS (ALTA) LTD",4032950400,347.05,347.05,0,0,0
"ENDURANCE TECHNOLOGIES INC",4035108680,288.74,288.74,0,0,0
"HHD EQUIPMENTS",4036520329,272.44,272.44,0,0,0
"RJAMES MANAGEMENT GROUP LTD",4038887127,255.15,0,0,255.15,0
"GT OPERATIONS",4034617229,248.42,248.42,0,0,0
"KHUSH CONSTRUCTION SERVICE",4038092010,226.09,0,226.09,0,0
"PRO TIRE AND REPAIR LTD",4039889197,199.28,199.28,0,0,0
"GILL FIXERS",4166700007,185.5,185.5,0,0,0
"PLAHA HEAVY EQUIPMENT REPAIR INC",4036290715,181.59,64.43,117.16,0,0
"Titan Truck Parts",4032572266,178.49,0,178.49,0,0
"Maxim Truck & Trailer",4034564212,172.98,0,172.98,0,0
"TRACTION HEAVY DUTY PARTS",6049520001,162.8,0,0,0,162.8
"AMEL TRANSPORT LTD",4038014524,154.14,154.14,0,0,0
"RAM ENTERPRISES",4034599990,152.55,152.55,0,0,0
"CROWN STAR TRANSPORT LTD",4037149117,122.82,122.82,0,0,0
"WAJAX LIMITED",4032537601,120.72,0,120.72,0,0
"S&H TRUCKING TOWING INC",4038098913,82.96,0,0,0,82.96
"RAJ TRUCK LINES LTD",4038907360,73.4,0,0,0,73.4
"KIDCO CONSTRUCTION LTD",4032959605,63.27,0,0,0,63.27
"PIPLI TRANSPORT LTD",5878940067,61.93,0,61.93,0,0
"10421294 CANADA LTD",4035896471,60.96,0,68.87,0,-7.91
"CTX LOGISTICS INC",4035857564,56.8,56.8,0,0,0
"Sam Deol Trucking",4039783009,52.71,0,52.71,0,0
"DIRECT LIMITED PARTNERSHIP",4374259760,46.99,0,0,0,46.99
"EDMONTON KENWORTH PACLEASE",7808870155,42.51,42.51,0,0,0
"9446052 Canada Inc (ELITE EARTH WOR",4036812229,37.07,0,37.07,0,0
"WITTERS AUTO SERVICE",4036670049,29.01,0,0,-8.33,37.34
"RPM TRAILER REPAIR SERVICES LTD",4032798487,21,0,21,0,0
"MSA TOWING CALGARY",5874354869,16.29,16.29,0,0,0
"1686127 ALBERTA LTD",4036161331,3.69,3.69,0,0,0
"LAKE VIEW HOMES LTD",4038051020,2.94,0,2.94,0,0
"1319753 ALBERTA LTD",5874347041,0.49,0,0,0.49,0
"DREAMLAND FREIGHTWAY LTD",6042181870,-0.01,0,0,0,-0.01
"NATIONAL FREIGHT SOLUTION",5875779208,-0.01,0,0,0,-0.01
"ASHMEEN CARRIERS INC",4034793247,-0.02,0,-0.02,0,0
"SIZ TRANSPORT LTD",4162774802,-0.08,0,0,-0.08,0
"1045598 ALBERTA LTD",4034835345,-0.55,0,0,0,-0.55
"JASHAN BAHIA TPT LTD",4039922058,-0.63,0,0,0,-0.63
"Balkar TRUCKING LTD",4034022312,-0.67,-0.67,0,0,0
"PRO TRUCKER DRIVING ACADEMY",4036297119,-0.81,0,0,0,-0.81
"FATEH TRANSPORT LTD",5878323001,-2.16,0,-2.16,0,0
"MANVEER TRUCKING LTD",4036175253,-2.23,0,0,0,-2.23
"2148410 AB LTD",4034015830,-2.8,0,0,-2.8,0
"2199257 ALBERTA INC",5878991380,-3.05,0,0,0,-3.05
"YS AND SONS CONTRACTING LTD",5878979003,-3.58,0,0,0,-3.58
"TRANSVILL TRASPORT LTD",4034636482,-4.15,0,4.99,0,-9.14
"APPS CALGARY CARRIERS",4033334013,-4.28,0,0,0,-4.28
"G S SAMRA TRUCKING LTD",4036134811,-5.35,0,0,0,-5.35
"WARN TRANSPORT LTD",4039707761,-5.5,0,0,0,-5.5
"HARMEEN TRUCKING",4034707429,-5.85,0,-5.85,0,0
"RABEI TRUCKING LTD",4034638399,-6.12,0,0,0,-6.12
"JABS TRUCKING LTD",5876469989,-7.14,0,0,0,-7.14
"SHAN & MAAN TRANSPORT LTD",4039696137,-7.63,0,0,0,-7.63
"2077728 ALBERTA LTD",3063460084,-8.15,0,0,0,-8.15
"PARRSA TRANSPORT LTD",4038291352,-8.16,0,0,0,-8.16
"4EVR TRUCKING INC",5874376071,-8.22,0,-8.22,0,0
"R&R TRUCK LINES INC",4033990046,-8.6,0,-8.6,0,0
"SHB TRUCKING LTD",7802330098,-8.63,0,0,0,-8.63
"LIONS TRUCKING LTD",4034642476,-11.57,0,0,-11.57,0
"1521657 ALBERTA LTD",4034786212,-12.02,0,0,0,-12.02
"I.S.CARGO CORPORATION",4038018708,-12.21,0,0,0,-12.21
VTL,5874330990,-12.72,0,0,0,-12.72
"BUSTLE FREIGHTWAYS LTD",3065620021,-12.89,-12.89,0,0,0
"AMARSAR TRANSPORT LTD",6395713621,-12.96,0,0,0,-12.96
"RK GILL TRUCKING INC",4036804095,-14.34,0,0,0,-14.34
"GARCHA TRUCKING LTD",4037081785,-14.57,0,0,0,-14.57
"ARMAAN TRUCKLINES LTD",5878391313,-15.23,0,0,0,-15.23
"DAMANDEEP TRUCKING LTD",4038379244,-15.46,-15.46,0,0,0
"SGRD TRUCKING LTD",4036827852,-15.66,0,0,0,-15.66
"PREET CARRIER INC",4036168301,-16.68,-16.68,0,0,0
"KOKRI TRANSPORT LTD",5875853889,-17.43,-17.43,0,0,0
"2403114 ALBERTA LTD",5878946890,-21.54,0,0,0,-21.54
"SIDNEY CONTRACTING LTD",4039693821,-22.74,-22.74,0,0,0
"MANRAJ TRUCK REPAIR INC",4036720672,-22.94,0,0,0,-22.94
"G & G LINE HAUL TRANSPORT",5874366062,-24.61,24.21,0,0,-48.82
"DESTINEY DRIVE LOGISTICS INC",6473884111,-27.36,-27.36,0,0,0
"1855380 AB LTD",3062161825,-28.35,0,0,0,-28.35
"KAVIENS TRUCKIND LTD",4032564646,-30.45,0,-30.45,0,0
"Zaildar Logistics Ltd",4038278656,-32.9,0,0,0,-32.9
"SATUS CONTRACTING INC",4033331091,-42.48,0,0,0,-42.48
"2009918 ALBERTA LTD",3062091386,-43.28,0,0,0,-43.28
"Balpreet Trucking Ltd",4039036869,-44.79,0,0,0,-44.79
"2402186 ALBERTA INC",7789830080,-45.69,-45.69,0,0,0
"PEAK FLOW INC",4039911883,-47.83,0,0,0,-47.83
"ASEESBK TRUCKING LTD",3064503416,-50.45,0,9.14,30.54,-90.13
"1387671 ALBERTA LTD",4036514433,-50.83,0,0,144.57,-195.4
"ROYEN INC",4033695077,-51.66,-51.66,0,0,0
"APPLE TRANSPORT INC",4038310678,-57.08,0,-57.08,0,0
"ISHQPURA TRANSPORT LTD",6044465062,-59.73,0,0,0,-59.73
"MARLIN TRANSPORT LTD",2046985132,-60.03,-40.09,-19.94,0,0
"1127445 Alberta Ltd",4034626248,-72.77,0,-72.77,0,0
"JSP TRUCKING LTD",4038352761,-97.74,0,0,0,-97.74
"HARGUN TRANSPORT LTD",7788935446,-113.4,0,0,0,-113.4
"National Transport Ltd",4036716224,-126.63,0,-126.63,0,0
"1548889 AB LTD",5877007490,-127.3,0,0,0,-127.3
"MORNING STAR INC",4033512424,-131.94,0,0,0,-131.94
"President Trucking LTD",4036193052,-139.72,0,0,0,-139.72
"976246 ALBERTA LTD",4036124676,-167.55,0,0,-167.55,0
"SITARA TRUCKING LTD",4033542022,-181.41,0,0,14.14,-195.55
"AVVYLAND LOGISTIC",4317777925,-240.37,0,0,0,-240.37
"SSG TRUCKING LTD",4036133176,-244.27,-244.27,0,0,0
"2089337 ALBERTA INC",2049515609,-261.19,0,0,0,-261.19
"2473949 AB LTD",6395909149,-267.17,41.94,0,0,-309.1
"YK TRUCK & TRAILER REPAIR",8257334459,-284.63,0,0,0,-284.63
"VALUE TRUCK SALES",4039789009,-337.13,-337.13,0,0,0
"ATL HEAVY DUTY REPAIRS",4034048202,-346.5,-346.5,0,0,0
"DEEP TRUCKING",4036305100,-359.1,0,0,-359.1,0
"GILLS EXPRESS LTD",4034734859,-398.64,0,-398.64,0,0
"HIWAY 10 TRANPORTATION SERVICE L",4033836061,-440.55,-440.55,0,0,0
"DYNAMIC DART WORKS LTD",4034701870,-586.65,0,0,0,-586.65
"G-1 TRUCKING LTD",4036086100,-1168.65,0,-1168.65,0,0
"PROPELL (ALBERTA) LTD",4038746540,-3864.78,0,-3864.78,0,0
"**** TOTAL AMOUNTS ****",,457967.56,162016.86,94612.67,57668.62,143669.41
