 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"ABS TRUCK AND TRAILER PARTS SK LTD.",7809133777,198636.57,1245.55,0,0,197391.01
"HMS MOBILE TRUCK & TRAILER REPAI",6045181522,73894.17,38219.5,32724.43,2950.25,0
"SPEED TRUCK & TRAILER REPAIR LTD",7789574045,42390.74,29002.76,13387.99,0,0
"RBG TRUCK & TRAILER REPAIR LTD.",6047244200,34235.51,0,0,0,34235.51
"LM DIESEL TRUCK & TRAILER REPAIR",6043669879,30699.75,11297.46,19402.3,0,0
"ABS TRUCK AND TRAILER PARTS LTD",7804794700,26325.31,0,0,0,26325.31
"SANDHER TRUCK & TRAILER REPAIR L",6049409797,22901.7,12502.59,10399.11,0,0
"SKYLINE WELDING & FABRICATION LT",6043759207,22270.32,0,0,0,22270.32
"KOONER TRUCK & TRAILER REPAIR LT",7788929796,20023.21,2442.5,0,0,17580.71
"TORQUE TECH TRUCK & TRAILER REPA",6044981462,19947.26,9794.63,10152.63,0,0
"MSD TRUCK & TRAILER REPAIR LTD",6044413578,16360.57,8150.46,8210.11,0,0
"TRIPLE S TRUCK & TRAILER REPAIR",2368814513,14698.85,11347.92,3350.93,0,0
"STALI INVESTMENT LTD",7785227861,14176.07,8904.54,4114.18,1157.35,0
"BEST TRANSPORT IMAGE LTD",6047814831,11883.72,0,0,115.35,11768.37
"FREEWAY TRUCK REPAIR & TIRE SHOP",7787078185,11718.68,11718.68,0,0,0
"AZ DIESEL TRUCK REPAIR",7782418374,10083.38,2660.96,5922.67,1499.74,0
"DTECH TRUCK & TRAILER REPAIR LTD",6046263797,8900.65,5798.07,3102.58,0,0
"AASRA TRUCK TRAILER REPAIR LTD",7788292422,7860.98,1338.84,6522.15,0,0
"SSD CONTRACTING LTD",6045512040,6988.28,4605.96,2382.32,0,0
"S&H MOBILE TRUCK REPAIR LTD",7787103137,6443.89,2541.23,2557.54,1345.12,0
"MODERN DIESEL TRUCK REPAIR LTD",6047247995,5525.81,2146.65,3379.16,0,0
"JAGZ TRUCK REPAIR INC",7788551895,5401.47,3521.91,1879.56,0,0
"WALKER HEAVY DUTY",6049409545,4724.65,3159.91,1564.74,0,0
"SISTEMA TRANSPORT LTD",6045379595,4556.77,4556.77,0,0,0
"A J GILL TRANSPORT LTD",7788783535,3922.73,3922.73,0,0,0
"ALL CARE DIESEL LTD",2362351311,3817.49,2036.43,1781.06,0,0
"ROYAL TRUCK REPAIR LTD",6045511745,3786.24,3786.24,0,0,0
"RJP TRUCK AND TRAILER REPAIR",7787236676,3560.15,2788.41,771.74,0,0
"LALLY BROS HOLDING LTD",6043242640,3474.18,3474.18,0,0,0
"BROWN MUNDE TRUCK & TRAILER REPA",6045000148,3238.41,1945.64,1292.77,0,0
"TRANSOURCE FRIGHTWAYS LTD",6045250527,3205.01,3205.01,0,0,0
"ATR TRUCK REPAIR LTD",7786867143,3070.81,3070.81,0,0,0
"TRACTION ABBOSTSFORD",6047469660,3001.02,470.55,0,870.65,1659.83
"ABS TRUCK & TRAILER PARTS",4033006600,2920.52,1249.74,0,0,1670.78
"MOGA TRUCK REPAIR",6045805560,2837.01,2837.01,0,0,0
"AKAL DIESEL TRUCK & TRAILER REPA",6045805565,2769.94,2769.94,0,0,0
"BEESLA TRUCKING2003 LTD",6046572559,2709.9,1270.98,1438.93,0,0
"COUNTRYSIDE TRUCK & TRAILER REPA",6044458501,2654.45,2654.45,0,0,0
"ABS TRUCK PARTS (SLAVE LAKE)",7806557753,2562.66,754.21,0,0,1808.45
"HARBOUR LINK CONTAINER SERVICE INC",6043967568,2206.4,2496.59,268.94,0,-559.13
"ROADRUN TRUCK REPAIRS LTD.",6047254004,2130.47,2130.47,0,0,0
"COMMERCIAL TRAILER SERVICE LTD",6045933634,2039.78,2039.78,0,0,0
"JS ATHWAL TRUCK & TRAILER REPAIR",6047677141,1951.76,1951.76,0,0,0
"FATEH TRUCK AND TRAILER REPAIR L",7788393786,1788.8,1788.8,0,0,0
"MOTORWAY TRUCK & TRAILER REPAIR",6049520133,1662.82,1310.55,352.28,0,0
"FUTURE TRUCKING",6044414000,1626.99,1626.99,0,0,0
