PART NUMBER,QUANTITY,PRICE,AISLE,SELF,COLUMN
441-83001,4,36.52,1,1,A
441-83008,4,34.55,1,1,A
441-83009,2,38.65,1,1,A
441-83022,4,36.83,1,1,A
441-83031,4,41.77,1,1,A
441-83038,4,33.57,1,1,A
441-83042,4,39.10,1,1,A
441-83048,4,35.60,1,1,A
441-83051,4,38.30,1,1,A
441-83101,4,36.52,1,1,A
441-83124,4,37.60,1,1,A
441-83125,4,39.54,1,1,A
441-83127,4,33.25,1,2,A
441-83128,4,29.84,1,2,A
441-83141,4,35.42,1,2,A
441-83142,4,62.92,1,2,A
441-831635143,8,36.3,1,2,A
441-832036893,4,32.79,1,2,A
441-83209,4,37.74,1,2,A
441-83221,4,32.18,1,2,A
441-83317,3,35.27,1,2,A
441-83396,4,30.94,1,2,A
441-850005416,4,36.91,1,2,A
441-850005419,4,36.91,1,2,A
441-85001,4,36.7,1,3,A
441-85003,4,45.51,1,3,A
441-850065505,2,46.84,1,3,A
441-850125113,4,46.51,1,3,A
441-850135420,4,50.08,1,3,A
441-85023,4,46.14,1,3,A
441-85031,4,55.36,1,4,A
441-85045,4,33.04,1,4,A
441-850526607,4,35.1,1,4,A
441-85053,4,47.29,1,4,A
441-850585478,4,47.04,1,4,A
441-85061,4,41.35,1,4,A
441-85062,4,40.67,1,5,A
441-85066,4,55.45,1,5,A
441-850695528,4,47.24,1,5,A
441-850695468,4,47.24,1,5,A
441-85070,4,38.61,1,5,A
441-85072,4,60.77,1,5,A
DIAMOND GRIP LARGE,40,14,1,6,A
DIAMOND GRIP EX LARGE ,40,14,1,7,A
441-85084,4,61.88,1,1,B
441-85119,4,47.66,1,1,B
441-85310,4,47.41,1,1,B
441-853115444,4,43.39,1,1,B
441-85316,4,47.17,1,1,B
441-85319,2,50.27,1,1,B
441-85320,4,46.8,1,2,B
441-85323,4,51.63,1,2,B
441-85331,4,60.42,1,2,B
441-85724,4,47.93,1,2,B
441-85900,4,52.86,1,2,B
441-85906,4,53.94,1,3,B
441-85909,4,51.46,1,3,B
441-859185148,4,41.58,1,3,B
441-85925,4,56.81,1,3,B
441-85929,4,54.62,1,3,B
441-85931,4,48.08,1,3,B
441-85932,4,47.34,1,4,B
441-85934,4,52.06,1,4,B
441-85937,4,60.02,1,4,B
441-85939,4,60.87,1,4,B
441-85954,4,46.24,1,4,B
441-85956,4,57.79,1,5,B
441-85957,4,51.77,1,5,B
441-85959,4,51.63,1,5,B
441-85972,4,56.27,1,5,B
441-85976,4,62.94,1,5,B
441-85978,4,61.17,1,5,B
441-646155,4,66.37,1,6,B
S-24691,6,132,1,1,H
S-26321,2,207,1,1,H
S-6914,3,141,1,2,H
S-24679,12,28.21,1,3,H
S-24705,12,24.95,1,3,H
346-525,1,99.98,1,1,L
346-526,2,113,1,1,L
346-532,1,88.65,1,1,L
346-536,2,190,1,1,L
346-546,2,123,1,1,L
346-593,1,155,1,1,L
346-605,2,184,1,1,K
346-620,1,126.25,1,1,K
346-564,1,129,1,1,K
346-554,1,122,1,3,K
346-637,1,111,1,1,K
346-624,1,265.38,1,1,K
346-638,1,233.77,1,1,K
,,,,,
346-385,1,100,1,1,K
346-634,1,161.59,1,2,L
346-611,1,242.54,2,7,L
346-612,2,203.29,2,7,K
346-530,1,122,2,7,J
346-572,2,205,1,7,J
346-568,1,130.78,1,2,K
346-520,1,145.99,1,2,K
346-589,1,189.92,1,2,K
346-547,1,132.85,1,2,K
346-650,1,244.53,1,2,K
346-633,1,129.01,1,2,K
346-384,1,99.95,1,2,K
,,,,,
346-534,1,154.05,1,4,K
346-607,3,138.89,1,5,K
346-654,1,282,1,6,K
346-531,2,122,1,7,K
346-388,1,107.73,1,1,L
346-535,1,161.97,1,3,L
346-371,1,157.24,1,4,L
346-579,3,141.81,1,5,L
,,,,,
346-621,2,155,1,7,L
S-34733,2,178,3,1,J
156.1008,2,34.25,3,5,J
156.1017,2,35.23,3,5,J
156.1003,2,42.71,3,5,J
3264H1386,4,39.81,3,6,J
A 1 3236  Q 2123,4,86.35,3,5,K
STPA1-3236-Q-2123,6,38024,3,5,K
STPA2-3264-P-1082,6,21.68,3,5,K
K088118K,4,105,3,6,K
A 2 3264 P 1082,4,49.4,3,6,K
325157N,3,41.66,3,7,K
17N 4 7771X,1,273,3,4,D
A1 1205 A 2731,2,68.73,3,3,B
STP CAM159L,4,20,12,1,L
STPCAM159R,4,20,12,1,L
STPE-9735,6,20,12,1,L
STPE-9736,6,20,12,1,L
STP2210-Q-7443,6,20,12,2,L
