 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"BRUNO'S TRUCKING LTD",7809802266,5908.11,3963.15,1944.96,0,0
"Seastone Transport Ltd",7802436000,4168.5,2777.25,1391.25,0,0
"NORTHWEST TANKLINES INC",6048566666,3685.5,1186.5,1386,840,273
"TIGER TANKLINES(2011) LTD",7809557903,3328.5,3097.5,231,0,0
"AJB TRUCK LINES INC",4164609997,2859.16,2859.16,0,0,0
"AVON CHEEMA TRANSPORT LTD.",3065394680,2191.52,16.8,0,0,2174.72
"DALL CONTRACTING LTD",2507823511,2097.86,514.5,1583.36,0,0
"D&W FORWARDERS - WERKMAN LTD.",7806747916,2072.22,969.96,1102.26,0,0
"Bipen Cheema Transport Ltd",3068072174,1397.9,0,0,0,1397.9
"JAS TRANSPORT LTD",7802393434,1134,0,168,0,966
"2687531 ALBERTA LTD.",7803184949,1131.9,234.15,897.75,0,0
"TRIPLE G TRUCKING LTD",78083717777,982.8,814.8,168,0,0
"STEWART BELLAND & ASSOC. INC.",7804659725,861,861,0,0,0
"1669518 ALBERTA LTD/ AKON EXPRES",7802972834,748.86,748.86,0,0,0
"NATFIL ENTERPRISE INC",3063514261,736.85,736.85,0,0,0
"TRANSLOGIC TRUCK LINES",7809083395,593.25,593.25,0,0,0
"CARMACKS ENTERPRISES LTD",7809555545,588,588,0,0,0
"ABJEET BHULLAR LTD",7802021200,583.78,583.78,0,0,0
"BOYCHUK VENTURES INC",78046465002,535.5,0,0,204.75,330.75
"2063242 AB LTD",7808845382,490.43,490.43,0,0,0
"SKS LOGISTICS LTD",7809805100,278.25,278.25,0,0,0
"WESTCORE LINKS INC.",3062784069,278.25,278.25,0,0,0
"CANDID TRUCKING INC",7805228239,273,273,0,0,0
"CAPITAL CITY TRUCKLINE LTD",7802994056,262.5,0,0,0,262.5
"SHELDON SQUAIR ENTERPRISES INC.",7806787403,231,0,231,0,0
"DHARNI TRUCKING LTD.",7806809555,207.38,207.38,0,0,0
"777 TRUCKING LTD",7802641500,173.25,0,0,0,173.25
"NEON ENTERPRISES LTD.",7782420419,110.25,110.25,0,0,0
"MANRAJ MOTORS",5877086644,33.6,33.6,0,0,0
"HOLMAN'S HAULING INC.",7802352212,23.1,23.1,0,0,0
"ASC TRUCKING",7802652799,15.75,0,0,0,15.75
"**** TOTAL AMOUNTS ****",,37981.96,22239.77,9103.57,1044.75,5593.87
