 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"DENTRO CARRIER LTD",3062017600,17717.28,17717.28,0,0,0
"JAS TRUCK & TRAILER REPAIR INC",3065804009,10685.37,10685.37,0,0,0
"ROAD SIDE TRUCK TRAILER REPAIR LTD",6399974000,8142.09,8142.09,0,0,0
"5K TRUCK AND TRAILER REPAIR",3062018509,7446.82,0,1261.67,6185.15,0
"ESCALADE TRANSPORTATION INC",3062015201,2735.09,2735.09,0,0,0
"D & G LOGISTICS INC",3066901279,2713.66,2713.66,0,0,0
"HEAL AUTO BODY",3064304325,2369.19,2369.19,0,0,0
"DENALI TRANSPORT INC",3064506216,1802.33,1802.33,0,0,0
"B & B /GIANT TRUCK & TRAILER",3065355555,745.15,745.15,0,0,0
"I LOAD TRUCKING LTD",3062166224,576.4,576.4,0,0,0
"BORN 2 GROW TRANSPORT LTD",3064504725,550.15,550.15,0,0,0
"H & H TRANSPORT INC",3062019222,401.32,401.32,0,0,0
"CAM TRANSPORT LTD",3065204313,384.45,384.45,0,0,0
"SOHANG TRANSPORTATION LTD",3065151025,197.36,197.36,0,0,0
"GGS TRUCK & TRAILER REPAIR LTD",7785227413,182.14,182.14,0,0,0
"ANOOP TRANSPORT INC",3065850045,110.94,110.94,0,0,0
"REDFORT LOGISTICS CORP",3062014347,52.82,52.82,0,0,0
"GRAND DIESEL SERVICE INC.",3062017268,50.27,50.27,0,0,0
"Green X Hauling INC",3065108295,39.27,39.27,0,0,0
"RAJPUT TRUCKING LTD",3062093366,-2.08,-2.08,0,0,0
"SEMISTARSHOP REPAIR",3065295395,-160.57,48.4,132.28,-341.25,0
"**** TOTAL AMOUNTS ****",,56739.42,49501.58,1393.95,5843.9,0
