 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"ABE DERKSEN TRUCKING",4317746480,32611.9,21410.07,11201.84,0,0
"TAYLOR OILFIELD",7805165030,24371.13,4539.53,19831.6,0,0
"DALE GIROUX LOGGING LTD",7808054028,24007.93,24007.93,0,0,0
"Sierra Industrial",7808054758,17789.94,17789.94,0,0,0
"J.LOEWEN MECHANICAL LTD",7808496416,17731.79,17731.79,0,0,0
"DRIFTPILE FIRST NATION ENTERPRIS",7808436511,16192.95,16192.95,0,0,0
"JBS MECHANICAL",17807796504,16023.37,16023.37,0,0,0
"NORTHERN ELITE TRUCKING",7805071757,15743.89,1038.99,14704.9,0,0
"NORTH OF 55 OILFIELD HAULING",7808494333,14085.69,6689.15,7396.54,0,0
"ABS TRUCK AND TRAILER PARTS LTD",7804794700,13752.56,0,12466.94,0,1285.62
"WEINRICH FORESTRY LTD.",7808292176,12814.18,13619.53,-805.35,0,0
"SCHUKNECHT TRUCKING",7808052074,12143.82,267.79,1148.97,10727.05,0
"SWORD TRANSPORT",7808491546,9956.11,5782.14,4173.97,0,0
"KROPP CONTRACTING LTD",7808496229,9794.83,6206.66,1656.6,1931.58,0
"REMPEL TRUCKING LTD.",5872530848,9286.88,4259.32,5027.56,0,0
"SPILAK TANK TRUCK",7808492757,8600.25,8532,68.25,0,0
"FULL BORE TRUCKING",2505506757,7502.77,6664.26,838.51,0,0
"EBEN CONSTRUCTION",7808051803,6907.3,1378.15,5529.15,0,0
"HOLRIC TRUCKING LTD",7808490911,6822.44,6822.44,0,0,0
"VANDERWELL CONTRACTORS",7808493824,6255.57,6255.57,0,0,0
"MAX FUEL DISTRIBUTORS",7802294003,5812.61,5472.39,0,0,340.23
"PRAX ENTERPRISES",6473336450,5403.01,5403.01,0,0,0
"LOBO CONTRACTING",4038945544,5165.01,4109.62,1055.4,0,0
"1706997 ALBERTA LTD O/A K&B ENTE",7808491233,4855.24,4855.24,0,0,0
"HOLLOW RIVER TRANSPORT INC.",7807242998,4353.4,4353.4,0,0,0
"FRANKLIN PARTS",7808491728,4243.73,2938.37,1305.36,0,0
"JACO SERVICES",7809267668,3912.58,3912.58,0,0,0
"GT KRAHN TRUCKING",7806257047,3877.81,0,0,0,3877.81
"M&M LOGGING",7808050004,3771.45,3771.45,0,0,0
"SLAVE LAKE HOTSHOT",7808492541,3331.1,3331.1,0,0,0
"KROPP TRUCKING",7808495545,3203.05,3203.05,0,0,0
"GCL CONTRACTING LTD",7808054724,3131.97,2291.47,840.51,0,0
"HEAVY EQUIPMENT REPAIR",7808493768,2826.47,1340.68,1485.8,0,0
"RIG AND STONE LTD",7806450873,2780.85,2780.85,0,0,0
"HUDY TECH LTD",7806605158,2469.58,2469.58,0,0,0
"FIJOS TRANSPORTR LTD",7803164040,2367.14,2367.14,0,0,0
"KIK TRANSPORT LTD",7807253030,2152.8,2152.8,0,0,0
"WILLOWHILL HOLDINGS LTD",4039014090,2060.34,2060.34,0,0,0
"LARSON INDUSTRIAL LTD",7808436142,2054.25,2054.25,0,0,0
"JAYMAR HAULING 88 LTD.",7808493466,2030.21,2030.21,0,0,0
"NORTHERN ACRES",7809261520,1871.41,1871.41,0,0,0
"ATHABASCA AUTOMOTIVE & INDUSTRIA",7806752951,1852.2,1852.2,0,0,0
"COTTONWOOD CREEK",7806956964,1663.24,1663.24,0,0,0
"1573670 AB LTD",4037966176,1641.91,0,0,0,1641.91
"WORKHORSE OILFIELD",7802213722,1479.5,1479.5,0,0,0
"LEE BEAUCHAMP",7808439973,1352.04,1352.04,0,0,0
"BIG SERVICES LTD",7808055110,1340.91,1340.91,0,0,0
"NORLOAD VENTURES LTD",7809260544,1081.51,1081.51,0,0,0
"5D CONTRACTING LTD",5878341174,777,777,0,0,0
"101023455 SASK LTD - CC TRANSPORT",3066966797,767.61,767.61,0,0,0
